Gene Target,Interacting Gene,Tissue,Enrichr Library
AKR1A1,TAL1,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,HDAC2,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,ELF1,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,CREB1,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,ELF1,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,CREB1,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,POLR2AphosphoS2,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,EP300,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,POLR2A,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,SMARCB1,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,EP300,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,TBP,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,KDM5B,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,CTBP2,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,MYC,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,BHLHE40,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,eGFP-HDAC8,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,PHF8,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,BACH1,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,EZH2,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,PHF8,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,MXI1,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,FOS,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,GATA1,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
AKR1A1,CTCFL,Unspecified,ENCODE_TF_ChIP-seq_2015
